# identifier	Debian packages	suite	architectures	description
ttf-jetbrains-mono-nerd-basic	-	unsupported	all	Debian installs the unpatched JetBrains Mono fallback
ttfx	-	unsupported	all	Requires an Omarchy-built Debian package
ufw-docker	-	unsupported	all	The initial Debian firewall uses native UFW policy
usage	-	unsupported	all	Requires an Omarchy-built Debian package
signal-desktop	-	unsupported	arm64	Use Signal in another supported client
spotify	-	unsupported	arm64	Use the Spotify web application
steam	-	unsupported	arm64	Steam does not provide a native arm64 client
lutris	-	unsupported	arm64	The Omarchy gaming stack is amd64-only
wine-staging	-	unsupported	arm64	The Omarchy gaming stack is amd64-only
google-chrome	-	unsupported	arm64	Use Chromium
microsoft-edge-stable-bin	-	unsupported	arm64	Use Chromium or Firefox ESR
brave-bin	-	unsupported	arm64	Use Chromium or a vendor arm64 build
brave-origin-bin	-	unsupported	arm64	Use Chromium or a vendor arm64 build
zen-browser-bin	-	unsupported	arm64	Use Firefox ESR
obsidian	-	unsupported	arm64	Use the Obsidian web application until an arm64 package is supported
discord	-	unsupported	arm64	Use the Discord web application
dropbox	-	unsupported	arm64	Use a supported synchronization client or web application
dropbox-cli	-	unsupported	arm64	Use a supported synchronization client or web application
nautilus-dropbox	-	unsupported	arm64	Use a supported synchronization client or web application
asusctl	-	unsupported	arm64	ASUS ROG setup is x86-specific
supergfxctl	-	unsupported	arm64	Hybrid GPU setup is x86-specific
linux-ptl	-	unsupported	arm64	Intel PTL kernel is x86-specific
linux-ptl-headers	-	unsupported	arm64	Intel PTL kernel is x86-specific
intel-ipu7-camera	-	unsupported	arm64	Intel IPU7 is x86-specific
intel-lpmd	-	unsupported	arm64	Intel power management is x86-specific
thermald	-	unsupported	arm64	Intel thermal management is x86-specific
macbook12-spi-driver-dkms	-	unsupported	arm64	This driver targets Intel MacBooks
linux-t2	-	unsupported	arm64	T2 Macs are x86-specific
nvidia-580xx-dkms	-	unsupported	arm64	The Arch NVIDIA package is not portable
nvidia-dkms	-	unsupported	arm64	Use the Debian or board-vendor driver for the device
nvidia-open-dkms	-	unsupported	arm64	Use the Debian or board-vendor driver for the device
xpadneo-dkms	-	unsupported	arm64	Not part of the initial ARM release
yay	-	unsupported	all	The AUR is available only on Arch Linux
yay-debug	-	unsupported	all	The AUR is available only on Arch Linux
